name,year,team,mentors,description,link,github,image
Preserving San Diego, Winter 2025, , , ,https://sdenvironment.vercel.app/home.html,,/images/projects/preserving_san_diego.png,
Light Polution, Winter 2025, , , ,https://himansig7.github.io/Team-12-LightPollution/,,/images/projects/light_pollution.png,
Shop Local, Winter 2025, , , ,https://eshah1028.github.io/Team6-WIC/webpage.html#top,,/images/projects/shop_local.png,
Sustainable Living, Winter 2025, , , ,https://kylama.github.io/Team5-SustainableLiving/,,/images/projects/sustainable_living.png,
Triton Wayfinder, Winter 2025, , , ,https://sydney-su.github.io/TritonWayfinder/index.html,,/images/projects/triton_wayfinder.png,
